Layers,Result,Rate,Iterations
"(8,)",0.7595781445578933,0.5,500
"(8,)",0.7444816917868589,0.6000000000000001,500
"(8,)",0.746978295133254,0.7000000000000002,500
"(8,)",0.7706103633070644,0.3,1000
"(8,)",0.7759762263879911,0.4,1000
"(8,)",0.7699457752683558,0.5,1000
"(8,)",0.762517501017501,0.6000000000000001,1000
"(8,)",0.7631346520980214,0.7000000000000002,1000
"(8,)",0.7587711164649449,0.3,5000
"(8,)",0.7510419063771087,0.4,5000
"(8,)",0.7524639771350297,0.5,5000
"(8,)",0.7879198979198979,0.6000000000000001,5000
"(8,)",0.7827916651542945,0.7000000000000002,5000
"(8,)",0.7648436819155229,0.3,10000
"(8,)",0.78982360098423,0.4,10000
"(8,)",0.7525680163508085,0.5,10000
"(8,)",0.7784145968465388,0.6000000000000001,10000
"(8,)",0.7143115033724741,0.7000000000000002,10000
"(9,)",0.5558363292165386,0.3,1
"(9,)",0.4959025202478348,0.4,1
"(9,)",0.4681057313855773,0.5,1
"(9,)",0.3902529067034844,0.6000000000000001,1
"(9,)",0.4844356201493557,0.7000000000000002,1
"(9,)",0.8058802310150128,0.3,5
"(9,)",0.8215458109174814,0.4,5
"(9,)",0.8157635698279894,0.5,5
"(9,)",0.8263982180123481,0.6000000000000001,5
"(9,)",0.7853763245952434,0.7000000000000002,5
"(9,)",0.8011009642864483,0.3,10
"(9,)",0.7917432296049383,0.4,10
"(9,)",0.7568616802351613,0.5,10
"(9,)",0.7517304670260102,0.6000000000000001,10
"(9,)",0.7866679690411942,0.7000000000000002,10
"(9,)",0.8139456110847032,0.3,50
"(9,)",0.7658232339535613,0.4,50
"(9,)",0.7474966931216931,0.5,50
"(9,)",0.7537746125027659,0.6000000000000001,50
"(9,)",0.7733497905157506,0.7000000000000002,50
"(9,)",0.7586262434490771,0.3,100
"(9,)",0.738189984394103,0.4,100
"(9,)",0.751623778379849,0.5,100
"(9,)",0.7817451943273979,0.6000000000000001,100
"(9,)",0.7883819169999635,0.7000000000000002,100
"(9,)",0.7797169336446623,0.3,500
"(9,)",0.7692433219445605,0.4,500
"(9,)",0.7325343461610474,0.5,500
"(9,)",0.7631969497799382,0.6000000000000001,500
"(9,)",0.7666372155124277,0.7000000000000002,500
"(9,)",0.7834594799765078,0.3,1000
"(9,)",0.7851270744782541,0.4,1000
"(9,)",0.7639453216779977,0.5,1000
"(9,)",0.7716233065287168,0.6000000000000001,1000
"(9,)",0.7645624736577558,0.7000000000000002,1000
"(9,)",0.7317614037739599,0.3,5000
"(9,)",0.7559944953093238,0.4,5000
"(9,)",0.6912715768428966,0.5,5000
"(9,)",0.7169658478474775,0.6000000000000001,5000
"(9,)",0.7722467973203267,0.7000000000000002,5000
"(9,)",0.7830804928579544,0.3,10000
"(9,)",0.7340191243641099,0.4,10000
"(9,)",0.766028871833877,0.5,10000
"(9,)",0.7563042429224734,0.6000000000000001,10000
"(9,)",0.7668752749900103,0.7000000000000002,10000
"(1, 2)",0.3902529067034844,0.3,1
"(1, 2)",0.3765856741058613,0.4,1
"(1, 2)",0.3902529067034844,0.5,1
"(1, 2)",0.4230799664036091,0.6000000000000001,1
"(1, 2)",0.3902529067034844,0.7000000000000002,1
"(1, 2)",0.4207268179684707,0.3,5
"(1, 2)",0.5134510114805366,0.4,5
"(1, 2)",0.46671819197731856,0.5,5
"(1, 2)",0.5692522933014923,0.6000000000000001,5
"(1, 2)",0.48430112693072813,0.7000000000000002,5
"(1, 2)",0.6865411720586587,0.3,10
"(1, 2)",0.8178683341823673,0.4,10
"(1, 2)",0.7287010044290924,0.5,10
"(1, 2)",0.7464131827601386,0.6000000000000001,10
"(1, 2)",0.6546042542518022,0.7000000000000002,10
"(1, 2)",0.7830833723044299,0.3,50
"(1, 2)",0.8148825913219703,0.4,50
"(1, 2)",0.7605152382590463,0.5,50
"(1, 2)",0.7558557647304777,0.6000000000000001,50
"(1, 2)",0.759575331724766,0.7000000000000002,50
"(1, 2)",0.8176852476689248,0.3,100
"(1, 2)",0.7950022413889888,0.4,100
"(1, 2)",0.7890220170738944,0.5,100
"(1, 2)",0.7942847034555789,0.6000000000000001,100
"(1, 2)",0.7490985712356679,0.7000000000000002,100
"(1, 2)",0.7942290114790115,0.3,500
"(1, 2)",0.7889838589556053,0.4,500
"(1, 2)",0.7616657570304148,0.5,500
"(1, 2)",0.7832152456576272,0.6000000000000001,500
"(1, 2)",0.8053974321329862,0.7000000000000002,500
"(1, 2)",0.7983215323514402,0.3,1000
"(1, 2)",0.7763031272350692,0.4,1000
"(1, 2)",0.8200177896685782,0.5,1000
"(1, 2)",0.7021852403998502,0.6000000000000001,1000
"(1, 2)",0.8181387574399659,0.7000000000000002,1000
"(1, 2)",0.7993975945329301,0.3,5000
"(1, 2)",0.8066011219693525,0.4,5000
"(1, 2)",0.8132319850159073,0.5,5000
"(1, 2)",0.8009600069582721,0.6000000000000001,5000
"(1, 2)",0.7874574245945214,0.7000000000000002,5000
"(1, 2)",0.745809270807536,0.3,10000
"(1, 2)",0.7824886140278917,0.4,10000
"(1, 2)",0.7324202394874273,0.5,10000
"(1, 2)",0.7836661062182884,0.6000000000000001,10000
"(1, 2)",0.7373316756846703,0.7000000000000002,10000
"(1, 3)",0.3902529067034844,0.3,1
"(1, 3)",0.3902529067034844,0.4,1
"(1, 3)",0.3902529067034844,0.5,1
"(1, 3)",0.3902529067034844,0.6000000000000001,1
"(1, 3)",0.3752529067034843,0.7000000000000002,1
"(1, 3)",0.42380144807125103,0.3,5
"(1, 3)",0.4905602898727096,0.4,5
"(1, 3)",0.48619495603263047,0.5,5
"(1, 3)",0.5212229870691627,0.6000000000000001,5
"(1, 3)",0.527731752569427,0.7000000000000002,5
"(1, 3)",0.7529226455989357,0.3,10
"(1, 3)",0.6589397165616677,0.4,10
"(1, 3)",0.6400768901022922,0.5,10
"(1, 3)",0.6936613694524445,0.6000000000000001,10
"(1, 3)",0.6994369246634837,0.7000000000000002,10
"(1, 3)",0.8020929116436124,0.3,50
"(1, 3)",0.7430007769550676,0.4,50
"(1, 3)",0.8047274802335508,0.5,50
"(1, 3)",0.8041489562929753,0.6000000000000001,50
"(1, 3)",0.8213097713085767,0.7000000000000002,50
"(1, 3)",0.7849264003540319,0.3,100
"(1, 3)",0.7596753289214838,0.4,100
"(1, 3)",0.7804460855712765,0.5,100
"(1, 3)",0.7350629149619623,0.6000000000000001,100
"(1, 3)",0.7632670143662019,0.7000000000000002,100
"(1, 3)",0.798226413555318,0.3,500
"(1, 3)",0.7938241890627162,0.4,500
"(1, 3)",0.744643402407094,0.5,500
"(1, 3)",0.7800959624946291,0.6000000000000001,500
"(1, 3)",0.6867928623647035,0.7000000000000002,500
"(1, 3)",0.7979553350449489,0.3,1000
"(1, 3)",0.7127325609790461,0.4,1000
"(1, 3)",0.7891512410397048,0.5,1000
"(1, 3)",0.6995180112404044,0.6000000000000001,1000
"(1, 3)",0.7932293369862362,0.7000000000000002,1000
"(1, 3)",0.7831565610315611,0.3,5000
"(1, 3)",0.7717015278523163,0.4,5000
"(1, 3)",0.7758685899699395,0.5,5000
"(1, 3)",0.7829673386846349,0.6000000000000001,5000
"(1, 3)",0.6859279436036837,0.7000000000000002,5000
"(1, 3)",0.8148393354426915,0.3,10000
"(1, 3)",0.7866658706795624,0.4,10000
"(1, 3)",0.7772357452926872,0.5,10000
"(1, 3)",0.752301604341078,0.6000000000000001,10000
"(1, 3)",0.7500363960911628,0.7000000000000002,10000
"(1, 4)",0.3902529067034844,0.3,1
"(1, 4)",0.4407123887419139,0.4,1
"(1, 4)",0.3902529067034844,0.5,1
"(1, 4)",0.3657614312009868,0.6000000000000001,1
"(1, 4)",0.36885403530461297,0.7000000000000002,1
"(1, 4)",0.4766298786073059,0.3,5
"(1, 4)",0.5159334384334385,0.4,5
"(1, 4)",0.5073170062797747,0.5,5
"(1, 4)",0.4442810291187036,0.6000000000000001,5
"(1, 4)",0.549861600738814,0.7000000000000002,5
"(1, 4)",0.6231991860599669,0.3,10
"(1, 4)",0.7449945078972156,0.4,10
"(1, 4)",0.6520666885043327,0.5,10
"(1, 4)",0.7052541504665265,0.6000000000000001,10
"(1, 4)",0.5529035032375822,0.7000000000000002,10
"(1, 4)",0.7970478012856608,0.3,50
"(1, 4)",0.7825887193326742,0.4,50
"(1, 4)",0.7931842423629479,0.5,50
"(1, 4)",0.7437289537824558,0.6000000000000001,50
"(1, 4)",0.7637851283805512,0.7000000000000002,50
"(1, 4)",0.7785754173330239,0.3,100
"(1, 4)",0.8073918440619359,0.4,100
"(1, 4)",0.7884908565749724,0.5,100
"(1, 4)",0.7828051105635978,0.6000000000000001,100
"(1, 4)",0.7518508216811675,0.7000000000000002,100
"(1, 4)",0.7927785113980065,0.3,500
"(1, 4)",0.800934886910369,0.4,500
"(1, 4)",0.7712246149755492,0.5,500
"(1, 4)",0.7448894719131385,0.6000000000000001,500
"(1, 4)",0.7297684090580587,0.7000000000000002,500
"(1, 4)",0.817301051539167,0.3,1000
"(1, 4)",0.7752809110406927,0.4,1000
"(1, 4)",0.7974678156913665,0.5,1000
"(1, 4)",0.7962623842547442,0.6000000000000001,1000
"(1, 4)",0.8004688262447528,0.7000000000000002,1000
"(1, 4)",0.7736950831681002,0.3,5000
"(1, 4)",0.7777682459772927,0.4,5000
"(1, 4)",0.8155536335002477,0.5,5000
"(1, 4)",0.784423950574739,0.6000000000000001,5000
"(1, 4)",0.7572779139532962,0.7000000000000002,5000
"(1, 4)",0.7286006782331154,0.3,10000
"(1, 4)",0.7626628476091675,0.4,10000
"(1, 4)",0.7862493660578693,0.5,10000
"(1, 4)",0.7446359771058981,0.6000000000000001,10000
"(1, 4)",0.8025408442637296,0.7000000000000002,10000
"(1, 5)",0.3902529067034844,0.3,1
"(1, 5)",0.3902529067034844,0.4,1
"(1, 5)",0.3973471843770303,0.5,1
"(1, 5)",0.43671755316813093,0.6000000000000001,1
"(1, 5)",0.3725605990111767,0.7000000000000002,1
"(1, 5)",0.4768547601346061,0.3,5
"(1, 5)",0.5108348893748971,0.4,5
"(1, 5)",0.4150506165011942,0.5,5
"(1, 5)",0.46229807498968567,0.6000000000000001,5
"(1, 5)",0.3805400688656465,0.7000000000000002,5
